Issue Id,Project Key,Issue Type,Summary,Epic Name,Description,Priority,Status,Reporter,Assignee,Labels,Components,Fix Version/s,Affects Version/s,Sprint,Story Points,Created,Due Date,Parent Id,Epic Link
95978a3a,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Refactor Figma'.,Low,Done,alice@example.com,dev.ben@example.com,,LLM Mesh,1.0.0,,Sprint 2,3,2025-04-08,2025-05-09,,6ec34914
881aaf1e,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Refactor Figma'.,Medium,Done,chloe@example.com,,,,,,,,2025-05-01,2025-05-24,95978a3a,6ec34914
161705ae,FM,Bug,Bug — Auth failure,,Synthetic bug for Futurematic epic 'Futurematic — Search'.,Low,To Do,bob@example.com,dev.anna@example.com,bug backend github ops,,0.9.0,0.9.0,Sprint 3,,2025-06-25,2025-07-20,,6ec34914
ed8acdba,FM,Bug,Bug — Studio crash on import,,Synthetic bug for Futurematic epic 'Futurematic — Search'.,Highest,In Progress,alice@example.com,dev.ben@example.com,bug figma mcp,Dot,1.1.0,,,,2025-05-16,2025-06-18,,6ec34914
023b54b1,FM,Epic,Futurematic — Search,Futurematic — Search,"Epic to deliver futurematic — search across Futurematic.
Includes discovery, design, implementation and rollout.",Lowest,Done,bob@example.com,dev.emma@example.com,jira ux,Workflows,,0.9.0,,,2025-05-20,2025-06-06,,
c13368c6,FM,Story,Futurematic — Implement CI,,User story: Futurematic — Implement CI. Aligns with epic 'Futurematic — Search'.,Lowest,Done,bob@example.com,dev.ben@example.com,figma security,Workflows,,,,8,2025-03-12,2025-03-19,,023b54b1
f5dce0f2,FM,Task,Task — API wiring,,Task under story 'Futurematic — Implement CI'.,Lowest,In Review,chloe@example.com,dev.ben@example.com,api jira,Materials,,,Sprint 3,2,2025-03-21,2025-04-25,,023b54b1
a57d03a1,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Implement CI'.,Medium,To Do,bob@example.com,dev.anna@example.com,,,,,Sprint 3,,2025-05-04,2025-05-29,f5dce0f2,023b54b1
e658a5f6,FM,Task,Task — Docs,,Task under story 'Futurematic — Implement CI'.,Highest,To Do,bob@example.com,dev.cara@example.com,,Admin,0.9.0,,,1,2025-01-04,2025-01-27,,023b54b1
29afca24,FM,Task,Task — Error handling,,Task under story 'Futurematic — Implement CI'.,High,To Do,alice@example.com,,backend ops,UI,1.0.0,,Sprint 4,3,2025-04-29,2025-05-25,,023b54b1
128b3284,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Implement CI'.,High,Done,bob@example.com,dev.anna@example.com,ops,,,,,,2025-06-17,2025-06-30,29afca24,023b54b1
42d54273,FM,Story,Futurematic — Spec Notifications,,User story: Futurematic — Spec Notifications. Aligns with epic 'Futurematic — Search'.,High,In Review,alice@example.com,,backend figma,Studio,1.0.0,,Sprint 2,1,2025-06-15,2025-07-14,,023b54b1
c93e520c,FM,Task,Task — UI polish,,Task under story 'Futurematic — Spec Notifications'.,Low,In Review,alice@example.com,dev.emma@example.com,performance,Dot,0.9.0,,,1,2025-05-31,2025-06-20,,023b54b1
f5edefe9,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Spec Notifications'.,Lowest,In Progress,chloe@example.com,dev.dan@example.com,,UI,,,Sprint 4,,2025-02-14,2025-03-09,c93e520c,023b54b1
ca3c3c62,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Spec Notifications'.,Medium,Done,chloe@example.com,dev.anna@example.com,docs github,Connections,,,Sprint 4,,2025-01-12,2025-02-21,c93e520c,023b54b1
29186fd9,FM,Task,Task — API wiring,,Task under story 'Futurematic — Spec Notifications'.,Lowest,In Progress,bob@example.com,dev.emma@example.com,,UI,,,,1,2025-03-24,2025-04-09,,023b54b1
80b69d41,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Spec Notifications'.,High,In Review,bob@example.com,dev.dan@example.com,api,Workflows,,,,,2025-04-26,2025-05-17,29186fd9,023b54b1
babd0957,FM,Task,Task — Docs,,Task under story 'Futurematic — Spec Notifications'.,Lowest,To Do,bob@example.com,dev.anna@example.com,ado performance,UI,1.1.0,,,2,2025-01-18,2025-01-30,,023b54b1
5017bd1c,FM,Story,Futurematic — Spec Studio Panels,,User story: Futurematic — Spec Studio Panels. Aligns with epic 'Futurematic — Search'.,Highest,In Progress,alice@example.com,dev.dan@example.com,api,Admin,,,Sprint 1,1,2025-03-21,2025-04-19,,023b54b1
2be84443,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Spec Studio Panels'.,Lowest,In Progress,bob@example.com,,,Gateway,,,Sprint 1,3,2025-06-27,2025-07-21,,023b54b1
20057915,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Spec Studio Panels'.,Medium,In Progress,bob@example.com,dev.cara@example.com,backend frontend mcp,Studio,,,Sprint 3,,2025-04-18,2025-05-24,2be84443,023b54b1
84c48f78,FM,Task,Task — Docs,,Task under story 'Futurematic — Spec Studio Panels'.,High,In Review,alice@example.com,dev.emma@example.com,backend ux,LLM Mesh,1.0.0,,,1,2025-05-05,2025-06-09,,023b54b1
f313f9a1,FM,Task,Task — UI polish,,Task under story 'Futurematic — Spec Studio Panels'.,Low,In Review,bob@example.com,dev.cara@example.com,docs jira,Gateway,,,Sprint 3,3,2025-03-19,2025-04-08,,023b54b1
a65315c5,FM,Story,Futurematic — Integrate Jira,,User story: Futurematic — Integrate Jira. Aligns with epic 'Futurematic — Search'.,Highest,Done,chloe@example.com,dev.dan@example.com,backend ux,Admin,1.1.0,,Sprint 1,3,2025-04-28,2025-05-09,,023b54b1
88337738,FM,Task,Task — UI polish,,Task under story 'Futurematic — Integrate Jira'.,Highest,To Do,bob@example.com,dev.cara@example.com,,Connections,,,,2,2025-04-22,2025-05-24,,023b54b1
9fd16223,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Integrate Jira'.,Low,In Review,alice@example.com,dev.ben@example.com,,,,,,,2025-03-02,2025-03-15,88337738,023b54b1
aa05c068,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Integrate Jira'.,Medium,In Progress,bob@example.com,dev.anna@example.com,ado prototype ux,Admin,,,Sprint 3,,2025-06-14,2025-07-11,88337738,023b54b1
444bea8e,FM,Story,Futurematic — Implement Jira,,User story: Futurematic — Implement Jira. Aligns with epic 'Futurematic — Search'.,Lowest,Done,bob@example.com,dev.emma@example.com,,Materials,,,,1,2025-04-05,2025-04-30,,023b54b1
9549a5f0,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Implement Jira'.,Lowest,In Progress,chloe@example.com,,mcp migration performance,Workflows,,,,3,2025-06-15,2025-07-03,,023b54b1
15b5eca2,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Implement Jira'.,Highest,Done,bob@example.com,dev.cara@example.com,mcp performance prototype,,,,,,2025-03-26,2025-04-08,9549a5f0,023b54b1
0c16bdb8,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Implement Jira'.,Medium,Done,chloe@example.com,dev.cara@example.com,,UI,,,Sprint 4,,2025-02-03,2025-02-15,9549a5f0,023b54b1
9dd8d8a1,FM,Story,Futurematic — Implement Filesystem,,User story: Futurematic — Implement Filesystem. Aligns with epic 'Futurematic — Search'.,Medium,Done,alice@example.com,,backend,Connections,,1.1.0,,2,2025-03-21,2025-04-08,,023b54b1
e89767a5,FM,Task,Task — UI polish,,Task under story 'Futurematic — Implement Filesystem'.,Low,In Progress,alice@example.com,dev.emma@example.com,jira,Gateway,1.1.0,,Sprint 4,3,2025-06-02,2025-07-03,,023b54b1
83fe286e,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Implement Filesystem'.,Medium,Done,alice@example.com,dev.cara@example.com,ado ops prototype,Gateway,,,,,2025-05-17,2025-06-08,e89767a5,023b54b1
12125177,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Implement Filesystem'.,Medium,To Do,chloe@example.com,,,Connections,,,Sprint 2,,2025-06-04,2025-06-19,e89767a5,023b54b1
c862dcba,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Implement Filesystem'.,Lowest,In Progress,bob@example.com,,docs frontend,Materials,,,Sprint 1,,2025-02-07,2025-03-13,e89767a5,023b54b1
4f13e1a3,FM,Task,Task — API wiring,,Task under story 'Futurematic — Implement Filesystem'.,Medium,In Progress,alice@example.com,dev.anna@example.com,github jira,LLM Mesh,,,Sprint 1,1,2025-03-23,2025-04-05,,023b54b1
3cb29052,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Implement Filesystem'.,Low,In Review,alice@example.com,dev.anna@example.com,ado mcp ops,LLM Mesh,,,,,2025-07-18,2025-08-12,4f13e1a3,023b54b1
08fd3f7f,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Implement Filesystem'.,Medium,Done,alice@example.com,dev.emma@example.com,,,,,,,2025-03-03,2025-03-19,4f13e1a3,023b54b1
c99652cd,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Implement Filesystem'.,Highest,To Do,bob@example.com,dev.dan@example.com,,,,,Sprint 3,,2025-05-10,2025-06-18,4f13e1a3,023b54b1
5da04e9a,FM,Task,Task — Error handling,,Task under story 'Futurematic — Implement Filesystem'.,Highest,In Review,alice@example.com,dev.anna@example.com,figma github,,,,Sprint 2,2,2025-06-10,2025-06-23,,023b54b1
74a2f161,FM,Bug,Bug — Studio crash on import,,Synthetic bug for Futurematic epic 'Futurematic — Search'.,Lowest,In Review,bob@example.com,dev.emma@example.com,bug ,Materials,,1.0.0,Sprint 3,,2025-01-12,2025-01-31,,023b54b1
b694f18d,FM,Bug,Bug — Slow CI fetch,,Synthetic bug for Futurematic epic 'Futurematic — Search'.,High,In Review,alice@example.com,dev.dan@example.com,bug ado prototype,,,,Sprint 3,,2025-07-10,2025-08-14,,023b54b1
3cc67bdf,FM,Bug,Bug — Token mismatch,,Synthetic bug for Futurematic epic 'Futurematic — Search'.,Medium,Done,chloe@example.com,dev.dan@example.com,bug api ops,Admin,1.0.0,0.9.0,Sprint 4,,2025-06-19,2025-07-14,,023b54b1
c7fbed0a,FM,Epic,Futurematic — Sync Engine,Futurematic — Sync Engine,"Epic to deliver futurematic — sync engine across Futurematic.
Includes discovery, design, implementation and rollout.",Lowest,In Progress,chloe@example.com,dev.dan@example.com,security,Admin,1.1.0,,Sprint 3,,2025-06-23,2025-07-10,,
844ca008,FM,Story,Futurematic — Refactor GitHub,,User story: Futurematic — Refactor GitHub. Aligns with epic 'Futurematic — Sync Engine'.,Medium,In Review,alice@example.com,dev.anna@example.com,ops,UI,,,Sprint 3,5,2025-05-16,2025-06-15,,c7fbed0a
dfc6ff50,FM,Task,Task — UI polish,,Task under story 'Futurematic — Refactor GitHub'.,Lowest,Done,alice@example.com,,api figma github,Connections,,,,3,2025-02-01,2025-02-16,,c7fbed0a
f94ecc05,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Refactor GitHub'.,Lowest,In Progress,alice@example.com,dev.ben@example.com,api,Admin,,,,,2025-05-11,2025-06-01,dfc6ff50,c7fbed0a
b3994a9b,FM,Task,Task — API wiring,,Task under story 'Futurematic — Refactor GitHub'.,High,Done,chloe@example.com,dev.dan@example.com,api backend performance,LLM Mesh,1.1.0,,,1,2025-01-17,2025-02-12,,c7fbed0a
68fe4eea,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor GitHub'.,Highest,In Progress,bob@example.com,dev.ben@example.com,,Connections,,,Sprint 3,,2025-01-15,2025-01-29,b3994a9b,c7fbed0a
cac75e6a,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor GitHub'.,Highest,In Progress,chloe@example.com,dev.emma@example.com,jira mcp prototype,,,,Sprint 1,,2025-06-07,2025-06-19,b3994a9b,c7fbed0a
bc581bab,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor GitHub'.,Highest,Done,chloe@example.com,dev.anna@example.com,,LLM Mesh,,,Sprint 4,,2025-03-09,2025-03-29,b3994a9b,c7fbed0a
0f19674c,FM,Story,Futurematic — Implement Jira,,User story: Futurematic — Implement Jira. Aligns with epic 'Futurematic — Sync Engine'.,High,Done,alice@example.com,dev.cara@example.com,github jira,,,,Sprint 3,5,2025-02-10,2025-03-17,,c7fbed0a
399e8c8f,FM,Task,Task — Write tests,,Task under story 'Futurematic — Implement Jira'.,Low,To Do,alice@example.com,,,Admin,0.9.0,,Sprint 4,2,2025-04-26,2025-05-18,,c7fbed0a
bc9bae1b,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Implement Jira'.,Highest,Done,alice@example.com,dev.ben@example.com,frontend,LLM Mesh,,,,,2025-01-24,2025-02-25,399e8c8f,c7fbed0a
d08d0a2e,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Implement Jira'.,Medium,Done,bob@example.com,dev.anna@example.com,api migration security,Connections,,,,,2025-02-04,2025-02-27,399e8c8f,c7fbed0a
39395178,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Implement Jira'.,Low,To Do,bob@example.com,dev.cara@example.com,,Materials,,,Sprint 4,,2025-06-09,2025-06-23,399e8c8f,c7fbed0a
288075c0,FM,Story,Futurematic — Implement Jira,,User story: Futurematic — Implement Jira. Aligns with epic 'Futurematic — Sync Engine'.,Highest,Done,alice@example.com,,,Admin,,,,5,2025-02-05,2025-03-05,,c7fbed0a
